model,feature_set,mse,r2,rmse
Random Forest,set1,41196806.70536728,0.7759591189605394,6418.473861080006
SVR,set1,185204307.49149552,-0.00719787626869417,13608.978929056195
GNN,set1,1402500736.0,-6.627229690551758,37449.9765625
Neural Network,set1,98853029.21330225,0.46240688224307547,9942.486068046675
GBM,set1,47491060.543932565,0.7417290344405552,6891.375809222173
Decision Tree,set1,45636920.5522863,0.7518124168801171,6755.510384292685
Random Forest,set2,40609062.643783644,0.7791554515871105,6372.524040267219
SVR,set2,185194178.31986868,-0.007142790724037784,13608.606773651323
GNN,set2,239636608.0,-0.3032175302505493,15480.2001953125
Neural Network,set2,83544381.59462036,0.5456600072860242,9140.261571455183
GBM,set2,37146295.75169522,0.7979870409111609,6094.776103491844
Decision Tree,set2,61075988.69097222,0.6678500250142251,7815.112839298753
Random Forest,set3,41933239.00858457,0.7719541740331641,6475.587927639047
SVR,set3,185197066.62676686,-0.007158498223573062,13608.712893832644
GNN,set3,468425152.0,-1.5474400520324707,21643.130859375
Neural Network,set3,96063250.11725916,0.47757855734529964,9801.186158688099
GBM,set3,47855454.70796738,0.7397473471185289,6917.76370715041
Decision Tree,set3,47508275.07897847,0.741635416514633,6892.624687227535
Random Forest,set4,41922862.32759498,0.7720106056097132,6474.786662709049
SVR,set4,185192543.9775523,-0.007133902668827519,13608.546725405777
GNN,set4,495946048.0,-1.6971070766448975,22269.845703125
Neural Network,set4,95932481.48601353,0.47828971730403447,9794.512825353466
GBM,set4,40061507.0089423,0.7821332272124235,6329.416008522611
Decision Tree,set4,50438688.92085832,0.7256989264939282,7102.0200591703715
Random Forest,set5,40726633.10320978,0.7785160673381704,6381.742168343201
SVR,set5,185187603.6346974,-0.007107035567846642,13608.365208014422
GNN,set5,225996272.0,-0.22903716564178467,15033.1728515625
Neural Network,set5,88260448.34111157,0.520012588628521,9394.70320665382
GBM,set5,35665967.92607402,0.8060375180428313,5972.099122257937
Decision Tree,set5,45353315.87729505,0.753354746160791,6734.487053762525
Random Forest,set6,43373589.71045811,0.7641211047722034,6585.862867571576
SVR,set6,185197965.10054216,-0.007163384399767381,13608.745904768086
GNN,set6,388664960.0,-1.1136796474456787,19714.587890625
Neural Network,set6,94156760.29008567,0.4879466342602773,9703.44064185924
GBM,set6,41335885.15256971,0.7752027676717689,6429.298962761781
Decision Tree,set6,42454030.26855194,0.7691219512942706,6515.675733840039
Random Forest,set7,40689547.46020295,0.778717750449014,6378.83590165188
SVR,set7,185190535.7542527,-0.007122981334060308,13608.472939836149
GNN,set7,4353003008.0,-22.6729679107666,65977.2890625
Neural Network,set7,88730285.55353653,0.5174574696415171,9419.675448418408
GBM,set7,36561579.973596856,0.8011669048025476,6046.617233924838
Decision Tree,set7,50860683.862176746,0.7234039884633343,7131.667677491482
Random Forest,set8,44935775.93460328,0.7556254565413032,6703.41524408292
SVR,set8,185196345.75736672,-0.0071545779144899235,13608.686408223488
GNN,set8,8936817664.0,-47.60116195678711,94534.7421875
Neural Network,set8,101069212.98779076,0.45035459457590843,10053.318506234185
GBM,set8,43251058.539133504,0.7647874668952362,6576.55369773056
Decision Tree,set8,54315673.37658334,0.7046146949065377,7369.9167822020445
Random Forest,set9,44246407.94503713,0.7593744512837204,6651.79734696098
SVR,set9,185199878.62882692,-0.007173790753975284,13608.816209679184
GNN,set9,223259600.0,-0.21415436267852783,14941.8740234375
Neural Network,set9,108168395.00515033,0.41174706353099566,10400.403598185521
GBM,set9,47204812.53143616,0.7432857390020069,6870.575851516099
Decision Tree,set9,82088505.49861111,0.5535775084061221,9060.270718836779
Random Forest,set10,39525423.4359795,0.7850486142436646,6286.924799612248
SVR,set10,185188032.5088456,-0.007109367917115694,13608.380965744807
GNN,set10,186254576.0,-0.012909650802612305,13647.51171875
Neural Network,set10,82803853.25405718,0.5496872277218461,9099.662260438965
GBM,set10,39926707.093597256,0.7828663105315735,6318.758350625323
Decision Tree,set10,47658756.37183664,0.7408170530508574,6903.532166350545
